,M13
380,9.843e-005
381,1.007e-004
382,9.066e-005
383,1.292e-004
384,1.677e-004
385,1.421e-004
386,1.317e-004
387,1.542e-004
388,1.514e-004
389,1.909e-004
390,2.281e-004
391,2.065e-004
392,2.025e-004
393,2.621e-004
394,2.675e-004
395,3.036e-004
396,3.558e-004
397,3.322e-004
398,3.129e-004
399,2.798e-004
400,2.812e-004
401,3.102e-004
402,3.028e-004
403,2.619e-004
404,2.816e-004
405,2.694e-004
406,2.804e-004
407,3.374e-004
408,2.968e-004
409,2.915e-004
410,3.076e-004
411,2.868e-004
412,3.105e-004
413,3.306e-004
414,3.287e-004
415,3.333e-004
416,4.117e-004
417,4.861e-004
418,5.616e-004
419,6.427e-004
420,7.223e-004
421,8.081e-004
422,9.576e-004
423,1.129e-003
424,1.345e-003
425,1.527e-003
426,1.805e-003
427,2.083e-003
428,2.415e-003
429,2.781e-003
430,3.153e-003
431,3.562e-003
432,4.134e-003
433,5.209e-003
434,8.962e-003
435,1.291e-002
436,1.224e-002
437,1.283e-002
438,1.488e-002
439,1.159e-002
440,8.693e-003
441,8.844e-003
442,9.310e-003
443,9.787e-003
444,1.019e-002
445,1.048e-002
446,1.089e-002
447,1.105e-002
448,1.123e-002
449,1.137e-002
450,1.148e-002
451,1.153e-002
452,1.150e-002
453,1.138e-002
454,1.125e-002
455,1.109e-002
456,1.093e-002
457,1.078e-002
458,1.044e-002
459,1.017e-002
460,9.894e-003
461,9.627e-003
462,9.224e-003
463,8.763e-003
464,8.436e-003
465,8.098e-003
466,7.710e-003
467,7.319e-003
468,6.969e-003
469,6.614e-003
470,6.269e-003
471,5.861e-003
472,5.508e-003
473,5.155e-003
474,4.826e-003
475,4.547e-003
476,4.192e-003
477,3.936e-003
478,3.657e-003
479,3.408e-003
480,3.157e-003
481,2.937e-003
482,2.735e-003
483,2.540e-003
484,2.379e-003
485,2.228e-003
486,2.108e-003
487,2.015e-003
488,1.915e-003
489,1.821e-003
490,1.810e-003
491,1.772e-003
492,1.736e-003
493,1.714e-003
494,1.712e-003
495,1.712e-003
496,1.761e-003
497,1.815e-003
498,1.875e-003
499,2.008e-003
500,2.096e-003
501,2.218e-003
502,2.379e-003
503,2.518e-003
504,2.661e-003
505,2.810e-003
506,2.961e-003
507,3.102e-003
508,3.235e-003
509,3.345e-003
510,3.397e-003
511,3.406e-003
512,3.347e-003
513,3.269e-003
514,3.131e-003
515,2.956e-003
516,2.763e-003
517,2.538e-003
518,2.322e-003
519,2.121e-003
520,1.932e-003
521,1.723e-003
522,1.570e-003
523,1.429e-003
524,1.286e-003
525,1.184e-003
526,1.075e-003
527,9.916e-004
528,9.158e-004
529,8.374e-004
530,7.748e-004
531,7.133e-004
532,6.803e-004
533,6.330e-004
534,5.810e-004
535,5.403e-004
536,4.932e-004
537,4.509e-004
538,4.281e-004
539,4.036e-004
540,3.599e-004
541,3.301e-004
542,3.036e-004
543,3.194e-004
544,6.659e-004
545,1.091e-003
546,9.702e-004
547,9.460e-004
548,1.048e-003
549,5.280e-004
550,1.541e-004
551,1.333e-004
552,1.242e-004
553,1.104e-004
554,8.837e-005
555,8.971e-005
556,7.319e-005
557,5.923e-005
558,7.252e-005
559,4.580e-005
560,5.099e-005
561,4.211e-005
562,3.359e-005
563,2.726e-005
564,1.310e-005
565,2.536e-005
566,2.081e-005
567,1.223e-005
568,2.956e-005
569,1.236e-005
570,2.120e-005
571,2.389e-005
572,3.985e-005
573,3.630e-005
574,3.353e-005
575,6.094e-005
576,9.631e-005
577,1.148e-004
578,1.686e-004
579,1.733e-004
580,1.321e-004
581,1.170e-004
582,8.249e-005
583,3.115e-005
584,3.930e-005
585,5.239e-005
586,6.603e-005
587,6.689e-005
588,6.341e-005
589,8.879e-005
590,7.288e-005
591,7.749e-005
592,9.714e-005
593,1.083e-004
594,1.146e-004
595,1.057e-004
596,9.713e-005
597,6.741e-005
598,1.017e-004
599,1.023e-004
600,1.254e-004
601,1.291e-004
602,9.160e-005
603,1.189e-004
604,8.079e-005
605,8.361e-005
