,M11
380,1.129e-025
381,1.056e-025
382,1.067e-025
383,1.062e-025
384,1.106e-025
385,1.015e-025
386,9.664e-026
387,9.742e-026
388,9.478e-026
389,9.416e-026
390,9.209e-026
391,9.321e-006
392,1.503e-005
393,8.261e-026
394,8.486e-026
395,8.264e-026
396,8.246e-026
397,7.652e-026
398,7.770e-026
399,7.469e-026
400,7.001e-026
401,6.932e-026
402,6.706e-026
403,6.622e-026
404,6.355e-026
405,6.130e-026
406,6.045e-026
407,5.916e-026
408,5.768e-026
409,5.666e-026
410,5.402e-026
411,5.282e-026
412,5.121e-026
413,5.022e-026
414,4.892e-026
415,4.677e-026
416,4.589e-026
417,4.489e-026
418,4.402e-026
419,5.394e-006
420,3.391e-005
421,2.513e-005
422,3.878e-005
423,5.607e-005
424,9.214e-005
425,8.865e-005
426,1.104e-004
427,1.298e-004
428,1.717e-004
429,1.937e-004
430,2.195e-004
431,2.654e-004
432,3.102e-004
433,3.639e-004
434,5.581e-004
435,7.759e-004
436,8.236e-004
437,1.255e-003
438,1.385e-003
439,8.994e-004
440,6.100e-004
441,6.186e-004
442,6.272e-004
443,6.548e-004
444,6.788e-004
445,6.742e-004
446,7.094e-004
447,7.044e-004
448,6.985e-004
449,7.099e-004
450,7.087e-004
451,7.017e-004
452,6.833e-004
453,6.648e-004
454,6.597e-004
455,6.327e-004
456,6.003e-004
457,5.985e-004
458,5.770e-004
459,5.566e-004
460,5.432e-004
461,5.193e-004
462,4.864e-004
463,4.868e-004
464,4.597e-004
465,4.508e-004
466,4.404e-004
467,3.986e-004
468,4.058e-004
469,4.281e-004
470,4.289e-004
471,4.446e-004
472,4.637e-004
473,5.011e-004
474,5.513e-004
475,6.192e-004
476,7.163e-004
477,8.054e-004
478,8.959e-004
479,1.000e-003
480,1.131e-003
481,1.227e-003
482,1.323e-003
483,1.413e-003
484,1.478e-003
485,1.596e-003
486,1.681e-003
487,1.790e-003
488,1.895e-003
489,2.006e-003
490,2.163e-003
491,2.309e-003
492,2.441e-003
493,2.601e-003
494,2.831e-003
495,3.030e-003
496,3.315e-003
497,3.687e-003
498,4.117e-003
499,4.679e-003
500,5.246e-003
501,5.919e-003
502,6.687e-003
503,7.714e-003
504,8.737e-003
505,9.861e-003
506,1.111e-002
507,1.252e-002
508,1.401e-002
509,1.551e-002
510,1.689e-002
511,1.813e-002
512,1.934e-002
513,2.026e-002
514,2.092e-002
515,2.134e-002
516,2.152e-002
517,2.148e-002
518,2.119e-002
519,2.082e-002
520,2.023e-002
521,1.963e-002
522,1.898e-002
523,1.834e-002
524,1.771e-002
525,1.706e-002
526,1.632e-002
527,1.562e-002
528,1.496e-002
529,1.431e-002
530,1.362e-002
531,1.291e-002
532,1.245e-002
533,1.186e-002
534,1.122e-002
535,1.058e-002
536,9.943e-003
537,9.365e-003
538,8.769e-003
539,8.227e-003
540,7.692e-003
541,7.163e-003
542,6.733e-003
543,7.374e-003
544,1.628e-002
545,2.782e-002
546,2.433e-002
547,2.181e-002
548,2.357e-002
549,1.246e-002
550,4.077e-003
551,3.505e-003
552,3.221e-003
553,2.987e-003
554,2.724e-003
555,2.465e-003
556,2.250e-003
557,2.015e-003
558,1.828e-003
559,1.676e-003
560,1.548e-003
561,1.446e-003
562,1.365e-003
563,1.275e-003
564,1.176e-003
565,1.068e-003
566,9.894e-004
567,9.260e-004
568,8.565e-004
569,7.799e-004
570,7.196e-004
571,6.468e-004
572,5.861e-004
573,5.480e-004
574,8.121e-004
575,2.045e-003
576,3.180e-003
577,3.827e-003
578,5.272e-003
579,4.911e-003
580,3.677e-003
581,3.143e-003
582,1.871e-003
583,9.627e-004
584,8.024e-004
585,9.530e-004
586,1.225e-003
587,1.208e-003
588,1.117e-003
589,1.227e-003
590,1.073e-003
591,1.006e-003
592,1.175e-003
593,1.179e-003
594,1.147e-003
595,1.087e-003
596,8.582e-004
597,6.997e-004
598,7.534e-004
599,7.475e-004
600,6.918e-004
601,6.368e-004
602,5.302e-004
603,4.176e-004
604,3.611e-004
605,3.658e-004
606,4.076e-004
607,5.154e-004
608,9.129e-004
609,1.936e-003
610,3.004e-003
611,3.232e-003
612,3.377e-003
613,3.429e-003
614,2.434e-003
615,1.459e-003
616,1.012e-003
617,7.352e-004
618,5.117e-004
619,4.477e-004
620,4.251e-004
621,4.557e-004
622,5.001e-004
623,5.514e-004
624,6.043e-004
625,6.292e-004
626,6.424e-004
627,6.738e-004
628,6.746e-004
629,7.642e-004
630,8.390e-004
631,8.440e-004
632,8.376e-004
633,7.805e-004
634,6.302e-004
635,5.246e-004
636,4.501e-004
637,3.829e-004
638,3.915e-004
639,3.738e-004
640,3.787e-004
641,3.884e-004
642,3.652e-004
643,3.671e-004
644,3.712e-004
645,4.032e-004
646,4.316e-004
647,4.819e-004
648,6.015e-004
649,7.300e-004
650,8.173e-004
651,8.967e-004
652,9.492e-004
653,9.846e-004
654,9.969e-004
655,1.066e-003
656,1.171e-003
657,1.294e-003
658,1.395e-003
659,1.472e-003
660,1.492e-003
661,1.411e-003
662,1.260e-003
663,1.131e-003
664,9.857e-004
665,8.410e-004
666,7.678e-004
667,6.981e-004
668,6.060e-004
669,4.719e-004
670,4.073e-004
671,3.096e-004
672,2.341e-004
673,2.429e-004
674,1.845e-004
675,1.755e-004
676,1.448e-004
677,1.227e-004
678,1.805e-004
679,1.329e-004
680,1.454e-004
681,1.375e-004
682,1.297e-004
683,1.041e-004
684,1.225e-004
685,1.193e-004
686,1.521e-004
687,1.527e-004
688,1.310e-004
689,1.166e-004
690,1.058e-004
691,1.041e-004
692,1.578e-004
693,1.236e-004
694,1.158e-004
695,8.410e-005
696,9.640e-005
