,M2
380,1.129e-025
381,1.056e-025
382,1.067e-025
383,1.062e-025
384,1.106e-025
385,1.015e-025
386,9.664e-026
387,9.742e-026
388,9.478e-026
389,9.416e-026
390,9.209e-026
391,8.960e-026
392,8.453e-026
393,8.261e-026
394,8.486e-026
395,8.264e-026
396,8.246e-026
397,5.445e-006
398,3.061e-006
399,2.252e-005
400,7.001e-026
401,6.932e-026
402,6.706e-026
403,6.622e-026
404,1.656e-007
405,1.180e-005
406,1.832e-005
407,3.696e-006
408,1.063e-005
409,3.557e-006
410,1.231e-006
411,2.599e-007
412,1.984e-006
413,1.094e-005
414,1.865e-005
415,1.066e-006
416,1.066e-005
417,2.702e-005
418,9.715e-006
419,3.600e-005
420,6.801e-005
421,8.053e-005
422,8.951e-005
423,1.032e-004
424,1.351e-004
425,1.641e-004
426,1.948e-004
427,2.105e-004
428,2.589e-004
429,3.093e-004
430,3.657e-004
431,4.274e-004
432,5.012e-004
433,6.156e-004
434,9.815e-004
435,1.539e-003
436,1.603e-003
437,1.755e-003
438,1.889e-003
439,1.374e-003
440,1.099e-003
441,1.126e-003
442,1.206e-003
443,1.256e-003
444,1.305e-003
445,1.349e-003
446,1.416e-003
447,1.446e-003
448,1.458e-003
449,1.491e-003
450,1.512e-003
451,1.514e-003
452,1.523e-003
453,1.491e-003
454,1.471e-003
455,1.448e-003
456,1.423e-003
457,1.417e-003
458,1.348e-003
459,1.335e-003
460,1.279e-003
461,1.226e-003
462,1.199e-003
463,1.117e-003
464,1.085e-003
465,1.061e-003
466,1.013e-003
467,9.595e-004
468,9.407e-004
469,9.078e-004
470,8.569e-004
471,8.553e-004
472,8.569e-004
473,8.814e-004
474,9.112e-004
475,9.163e-004
476,9.663e-004
477,1.023e-003
478,1.073e-003
479,1.145e-003
480,1.227e-003
481,1.295e-003
482,1.354e-003
483,1.413e-003
484,1.482e-003
485,1.566e-003
486,1.612e-003
487,1.679e-003
488,1.762e-003
489,1.845e-003
490,1.977e-003
491,2.090e-003
492,2.178e-003
493,2.338e-003
494,2.541e-003
495,2.745e-003
496,2.994e-003
497,3.307e-003
498,3.666e-003
499,4.155e-003
500,4.650e-003
501,5.227e-003
502,5.896e-003
503,6.704e-003
504,7.538e-003
505,8.448e-003
506,9.442e-003
507,1.058e-002
508,1.175e-002
509,1.289e-002
510,1.394e-002
511,1.486e-002
512,1.579e-002
513,1.646e-002
514,1.692e-002
515,1.718e-002
516,1.730e-002
517,1.733e-002
518,1.715e-002
519,1.694e-002
520,1.654e-002
521,1.615e-002
522,1.567e-002
523,1.519e-002
524,1.471e-002
525,1.420e-002
526,1.359e-002
527,1.300e-002
528,1.247e-002
529,1.194e-002
530,1.138e-002
531,1.077e-002
532,1.033e-002
533,9.802e-003
534,9.258e-003
535,8.717e-003
536,8.182e-003
537,7.699e-003
538,7.222e-003
539,6.758e-003
540,6.329e-003
541,5.855e-003
542,5.484e-003
543,6.178e-003
544,1.534e-002
545,2.654e-002
546,2.279e-002
547,2.020e-002
548,2.193e-002
549,1.123e-002
550,3.349e-003
551,2.874e-003
552,2.646e-003
553,2.451e-003
554,2.224e-003
555,2.001e-003
556,1.831e-003
557,1.668e-003
558,1.518e-003
559,1.395e-003
560,1.285e-003
561,1.188e-003
562,1.113e-003
563,1.053e-003
564,9.700e-004
565,8.951e-004
566,8.226e-004
567,7.656e-004
568,7.174e-004
569,6.429e-004
570,5.985e-004
571,5.422e-004
572,4.836e-004
573,4.460e-004
574,7.054e-004
575,1.866e-003
576,2.870e-003
577,3.416e-003
578,4.680e-003
579,4.303e-003
580,3.166e-003
581,2.689e-003
582,1.556e-003
583,7.691e-004
584,6.523e-004
585,8.088e-004
586,1.047e-003
587,1.023e-003
588,9.521e-004
589,1.024e-003
590,8.861e-004
591,8.523e-004
592,9.861e-004
593,9.741e-004
594,9.474e-004
595,9.153e-004
596,7.306e-004
597,6.360e-004
598,6.862e-004
599,6.540e-004
600,6.381e-004
601,5.874e-004
602,5.046e-004
603,4.064e-004
604,3.502e-004
605,3.660e-004
606,4.295e-004
607,5.387e-004
608,9.285e-004
609,1.913e-003
610,2.935e-003
611,3.150e-003
612,3.370e-003
613,3.454e-003
614,2.485e-003
615,1.532e-003
616,1.106e-003
617,8.357e-004
618,5.705e-004
619,5.147e-004
620,5.044e-004
621,5.530e-004
622,6.120e-004
623,6.684e-004
624,7.391e-004
625,7.914e-004
626,8.153e-004
627,8.246e-004
628,8.532e-004
629,9.509e-004
630,1.028e-003
631,1.064e-003
632,1.069e-003
633,9.903e-004
634,8.404e-004
635,7.299e-004
636,6.347e-004
637,5.768e-004
638,5.356e-004
639,5.147e-004
640,5.292e-004
641,5.413e-004
642,5.456e-004
643,5.383e-004
644,5.347e-004
645,5.369e-004
646,5.902e-004
647,6.568e-004
648,7.741e-004
649,9.761e-004
650,1.087e-003
651,1.203e-003
652,1.323e-003
653,1.339e-003
654,1.394e-003
655,1.453e-003
656,1.574e-003
657,1.735e-003
658,1.893e-003
659,1.998e-003
660,2.020e-003
661,1.930e-003
662,1.756e-003
663,1.569e-003
664,1.363e-003
665,1.200e-003
666,1.061e-003
667,9.161e-004
668,8.376e-004
669,7.018e-004
670,5.911e-004
671,4.852e-004
672,3.756e-004
673,3.278e-004
674,2.990e-004
675,2.416e-004
676,2.193e-004
677,1.871e-004
678,2.032e-004
679,1.694e-004
680,1.207e-004
681,1.630e-004
682,2.249e-004
683,1.568e-004
684,1.684e-004
685,1.567e-004
686,1.807e-004
687,1.706e-004
688,1.976e-004
689,1.870e-004
690,1.273e-004
691,1.117e-004
692,1.407e-004
693,1.158e-004
694,9.895e-005
695,8.238e-005
696,7.786e-005
