,M3
380,1.129e-025
381,2.474e-006
382,2.623e-007
383,1.062e-025
384,1.106e-025
385,1.015e-025
386,9.664e-026
387,9.742e-026
388,6.370e-006
389,3.671e-006
390,5.802e-006
391,3.986e-005
392,1.803e-005
393,1.108e-005
394,6.381e-005
395,1.880e-005
396,3.171e-005
397,1.705e-005
398,1.380e-005
399,3.614e-005
400,3.159e-005
401,7.120e-006
402,9.307e-007
403,1.538e-005
404,8.457e-006
405,1.647e-005
406,3.074e-005
407,7.636e-006
408,2.196e-005
409,2.120e-005
410,7.334e-006
411,2.326e-005
412,3.661e-005
413,3.783e-005
414,5.176e-005
415,5.896e-005
416,9.175e-005
417,1.078e-004
418,1.404e-004
419,1.544e-004
420,1.912e-004
421,1.899e-004
422,2.385e-004
423,2.789e-004
424,3.552e-004
425,4.220e-004
426,5.051e-004
427,5.923e-004
428,7.036e-004
429,7.886e-004
430,8.940e-004
431,1.032e-003
432,1.179e-003
433,1.448e-003
434,2.455e-003
435,3.659e-003
436,3.545e-003
437,3.903e-003
438,4.442e-003
439,3.435e-003
440,2.510e-003
441,2.563e-003
442,2.693e-003
443,2.834e-003
444,2.929e-003
445,3.010e-003
446,3.104e-003
447,3.134e-003
448,3.154e-003
449,3.139e-003
450,3.144e-003
451,3.110e-003
452,3.076e-003
453,3.010e-003
454,2.961e-003
455,2.907e-003
456,2.838e-003
457,2.772e-003
458,2.630e-003
459,2.546e-003
460,2.439e-003
461,2.338e-003
462,2.217e-003
463,2.071e-003
464,1.970e-003
465,1.860e-003
466,1.774e-003
467,1.633e-003
468,1.519e-003
469,1.443e-003
470,1.352e-003
471,1.265e-003
472,1.181e-003
473,1.089e-003
474,1.007e-003
475,9.227e-004
476,8.666e-004
477,8.131e-004
478,7.632e-004
479,6.958e-004
480,6.281e-004
481,5.843e-004
482,5.530e-004
483,5.296e-004
484,5.028e-004
485,4.590e-004
486,4.313e-004
487,4.376e-004
488,4.218e-004
489,4.097e-004
490,4.148e-004
491,4.084e-004
492,4.024e-004
493,4.087e-004
494,4.173e-004
495,4.257e-004
496,4.447e-004
497,4.562e-004
498,4.861e-004
499,5.285e-004
500,5.878e-004
501,6.322e-004
502,6.841e-004
503,7.600e-004
504,8.094e-004
505,8.866e-004
506,9.646e-004
507,1.051e-003
508,1.126e-003
509,1.219e-003
510,1.285e-003
511,1.339e-003
512,1.378e-003
513,1.417e-003
514,1.430e-003
515,1.431e-003
516,1.414e-003
517,1.389e-003
518,1.340e-003
519,1.288e-003
520,1.235e-003
521,1.192e-003
522,1.131e-003
523,1.078e-003
524,1.028e-003
525,9.832e-004
526,9.333e-004
527,8.746e-004
528,8.322e-004
529,7.883e-004
530,7.494e-004
531,7.202e-004
532,6.701e-004
533,6.370e-004
534,6.016e-004
535,5.592e-004
536,5.336e-004
537,4.977e-004
538,4.571e-004
539,4.323e-004
540,3.894e-004
541,3.539e-004
542,3.370e-004
543,3.564e-004
544,9.049e-004
545,1.519e-003
546,1.309e-003
547,1.238e-003
548,1.312e-003
549,5.838e-004
550,1.937e-004
551,1.660e-004
552,1.495e-004
553,1.331e-004
554,1.215e-004
555,1.188e-004
556,1.019e-004
557,8.414e-005
558,8.325e-005
559,7.220e-005
560,4.767e-005
561,7.233e-005
562,6.783e-005
563,5.888e-005
564,5.562e-005
565,3.918e-005
566,4.838e-005
567,3.781e-005
568,4.387e-005
569,3.886e-005
570,3.433e-005
571,3.030e-005
572,4.096e-005
573,4.608e-005
574,7.555e-005
575,2.183e-004
576,3.439e-004
577,4.541e-004
578,6.617e-004
579,5.965e-004
580,4.871e-004
581,4.501e-004
582,3.040e-004
583,2.058e-004
584,2.244e-004
585,3.744e-004
586,5.668e-004
587,6.058e-004
588,5.651e-004
589,6.270e-004
590,6.809e-004
591,8.848e-004
592,1.177e-003
593,1.181e-003
594,1.188e-003
595,1.181e-003
596,1.095e-003
597,1.176e-003
598,1.420e-003
599,1.503e-003
600,1.481e-003
601,1.453e-003
602,1.358e-003
603,1.257e-003
604,1.309e-003
605,1.526e-003
606,1.927e-003
607,2.709e-003
608,5.338e-003
609,1.200e-002
610,1.916e-002
611,2.040e-002
612,2.005e-002
613,1.973e-002
614,1.488e-002
615,9.995e-003
616,7.599e-003
617,6.049e-003
618,4.915e-003
619,4.608e-003
620,4.858e-003
621,5.505e-003
622,6.338e-003
623,7.208e-003
624,7.840e-003
625,8.311e-003
626,8.609e-003
627,8.925e-003
628,9.698e-003
629,1.101e-002
630,1.198e-002
631,1.199e-002
632,1.173e-002
