,M12
380,1.129e-025
381,1.056e-025
382,1.067e-025
383,1.062e-025
384,1.106e-025
385,1.015e-025
386,9.664e-026
387,9.742e-026
388,9.478e-026
389,9.416e-026
390,9.209e-026
391,8.960e-026
392,8.453e-026
393,8.261e-026
394,8.486e-026
395,8.264e-026
396,8.246e-026
397,7.652e-026
398,7.770e-026
399,7.469e-026
400,7.001e-026
401,6.932e-026
402,6.706e-026
403,6.622e-026
404,6.355e-026
405,6.130e-026
406,3.122e-006
407,5.916e-026
408,5.768e-026
409,5.666e-026
410,5.402e-026
411,5.282e-026
412,5.121e-026
413,5.022e-026
414,4.892e-026
415,4.677e-026
416,2.477e-006
417,2.375e-005
418,3.176e-005
419,5.039e-005
420,4.875e-005
421,1.081e-004
422,1.094e-004
423,1.622e-004
424,1.765e-004
425,2.146e-004
426,2.621e-004
427,2.947e-004
428,3.745e-004
429,3.914e-004
430,4.503e-004
431,5.142e-004
432,5.735e-004
433,6.787e-004
434,1.114e-003
435,1.685e-003
436,1.622e-003
437,1.806e-003
438,2.003e-003
439,1.480e-003
440,1.018e-003
441,9.706e-004
442,9.899e-004
443,1.013e-003
444,1.040e-003
445,1.036e-003
446,1.035e-003
447,1.025e-003
448,9.919e-004
449,9.654e-004
450,9.537e-004
451,9.263e-004
452,8.980e-004
453,8.561e-004
454,8.181e-004
455,7.829e-004
456,7.315e-004
457,7.165e-004
458,6.665e-004
459,6.302e-004
460,5.955e-004
461,5.584e-004
462,5.378e-004
463,4.925e-004
464,4.736e-004
465,4.445e-004
466,4.062e-004
467,3.852e-004
468,3.772e-004
469,3.582e-004
470,3.313e-004
471,2.966e-004
472,2.882e-004
473,2.869e-004
474,2.515e-004
475,2.493e-004
476,2.298e-004
477,1.902e-004
478,1.789e-004
479,1.761e-004
480,1.474e-004
481,1.409e-004
482,1.295e-004
483,1.315e-004
484,1.372e-004
485,1.616e-004
486,1.899e-004
487,1.916e-004
488,1.944e-004
489,1.770e-004
490,1.923e-004
491,1.761e-004
492,1.501e-004
493,1.825e-004
494,1.779e-004
495,1.773e-004
496,2.006e-004
497,2.252e-004
498,2.289e-004
499,2.692e-004
500,2.850e-004
501,3.381e-004
502,3.756e-004
503,4.298e-004
504,4.626e-004
505,4.979e-004
506,5.397e-004
507,5.933e-004
508,6.725e-004
509,7.162e-004
510,7.854e-004
511,8.225e-004
512,8.689e-004
513,8.972e-004
514,9.206e-004
515,9.399e-004
516,9.346e-004
517,9.240e-004
518,9.020e-004
519,8.752e-004
520,8.425e-004
521,8.199e-004
522,7.784e-004
523,7.460e-004
524,7.207e-004
525,7.015e-004
526,6.666e-004
527,6.254e-004
528,5.944e-004
529,5.598e-004
530,5.297e-004
531,5.041e-004
532,4.762e-004
533,4.396e-004
534,4.203e-004
535,3.871e-004
536,3.661e-004
537,3.425e-004
538,3.119e-004
539,2.980e-004
540,2.667e-004
541,2.534e-004
542,2.406e-004
543,2.518e-004
544,5.408e-004
545,9.461e-004
546,8.222e-004
547,7.892e-004
548,8.692e-004
549,4.141e-004
550,1.361e-004
551,9.973e-005
552,9.126e-005
553,9.126e-005
554,8.599e-005
555,7.271e-005
556,6.364e-005
557,5.873e-005
558,5.386e-005
559,5.400e-005
560,4.272e-005
561,4.569e-005
562,4.249e-005
563,4.565e-005
564,2.962e-005
565,4.555e-005
566,3.678e-005
567,3.996e-005
568,3.598e-005
569,2.123e-005
570,2.181e-005
571,2.984e-005
572,4.410e-005
573,6.536e-005
574,1.060e-004
575,2.815e-004
576,4.712e-004
577,6.624e-004
578,9.941e-004
579,9.656e-004
580,8.320e-004
581,8.002e-004
582,5.726e-004
583,4.060e-004
584,4.595e-004
585,7.153e-004
586,1.097e-003
587,1.149e-003
588,1.113e-003
589,1.301e-003
590,1.353e-003
591,1.667e-003
592,2.191e-003
593,2.307e-003
594,2.378e-003
595,2.417e-003
596,2.149e-003
597,2.146e-003
598,2.586e-003
599,2.774e-003
600,2.769e-003
601,2.733e-003
602,2.517e-003
603,2.243e-003
604,2.249e-003
605,2.580e-003
606,3.234e-003
607,4.495e-003
608,8.846e-003
609,2.052e-002
610,3.352e-002
611,3.660e-002
612,3.795e-002
613,3.899e-002
614,2.932e-002
615,1.908e-002
616,1.438e-002
617,1.125e-002
618,8.763e-003
619,7.984e-003
620,8.282e-003
621,9.321e-003
622,1.071e-002
623,1.218e-002
624,1.335e-002
625,1.419e-002
626,1.475e-002
627,1.528e-002
628,1.663e-002
629,1.898e-002
630,2.068e-002
631,2.077e-002
632,2.048e-002
633,1.884e-002
634,1.594e-002
635,1.354e-002
636,1.185e-002
637,1.081e-002
638,1.052e-002
639,1.065e-002
640,1.087e-002
641,1.100e-002
642,1.111e-002
643,1.109e-002
644,1.126e-002
645,1.191e-002
646,1.321e-002
647,1.527e-002
648,1.866e-002
649,2.234e-002
650,2.527e-002
651,2.743e-002
652,2.888e-002
653,2.956e-002
654,3.040e-002
655,3.246e-002
656,3.583e-002
657,3.966e-002
658,4.294e-002
659,4.404e-002
660,4.317e-002
661,4.046e-002
662,3.627e-002
663,3.167e-002
664,2.747e-002
665,2.428e-002
666,2.147e-002
667,1.890e-002
668,1.631e-002
669,1.350e-002
670,1.116e-002
671,9.137e-003
672,7.580e-003
673,6.487e-003
674,5.662e-003
675,5.127e-003
676,4.703e-003
677,4.379e-003
678,4.135e-003
679,3.900e-003
680,3.705e-003
681,3.577e-003
682,3.411e-003
683,3.294e-003
684,3.233e-003
685,3.328e-003
686,3.450e-003
687,3.367e-003
688,3.190e-003
689,3.074e-003
690,2.650e-003
691,2.457e-003
692,2.437e-003
693,2.199e-003
694,1.968e-003
695,1.826e-003
696,1.570e-003
